faiss_id,entity,label,type
292,reo:barbara-gili-fivela,BARBARA-GILI-FIVELA,foaf:Person
293,reo:christian-perez,Christian-Perez,foaf:Person
294,reo:olmo-g,OLMO-G,foaf:Person
295,reo:leendert-van-der-torre,LEENDERT-VAN-DER-TORRE,foaf:Person
296,reo:elena-grassi,Elena-Grassi,foaf:Person
297,reo:hinde-lilia-bouziane,Hinde-Lilia-Bouziane,foaf:Person
298,reo:gong-w,GONG-W,foaf:Person
299,reo:sonia-campa,Sonia-Campa,foaf:Person
300,reo:marco-martin,Marco-Martin,foaf:Person
301,reo:neri-f,NERI-F,foaf:Person
302,reo:davide-ancona,DAVIDE-ANCONA,foaf:Person
303,reo:samarati-p,SAMARATI-P,foaf:Person
304,reo:sergio-gusmeroli,Sergio-Gusmeroli,foaf:Person
305,reo:bertoncello-c,BERTONCELLO-C,foaf:Person
306,reo:lo-iacono-m,LO-IACONO-M,foaf:Person
307,reo:cena-f,CENA-F,foaf:Person
308,reo:frederic-prost,FREDERIC-PROST,foaf:Person
309,reo:daniele-catanzaro,Daniele-Catanzaro,foaf:Person
310,reo:maddalena-nonato,Maddalena-Nonato,foaf:Person
311,reo:boldi-p,BOLDI-P,foaf:Person
312,reo:martini,MARTINI,foaf:Person
313,reo:andras-horvath,Andras HORVATH,foaf:Person
314,reo:console-l,CONSOLE-L,foaf:Person
315,reo:marco-beccuti,Marco BECCUTI,foaf:Person
316,reo:horvath-a,HORVATH-A,foaf:Person
317,reo:ermondi-g,Ermondi-G,foaf:Person
318,reo:gianmaria-ajani,Gianmaria-Ajani,foaf:Person
319,reo:matteo-baldoni,Matteo BALDONI,foaf:Person
320,reo:barbara-penna,Barbara-Penna,foaf:Person
321,reo:marco-danelutto,Marco-Danelutto,foaf:Person
322,reo:murgia-f,MURGIA-F,foaf:Person
323,reo:linnebacher-m,Linnebacher-M,foaf:Person
324,reo:jan-maluszynski,Jan-Maluszynski,foaf:Person
325,reo:simone-zezza,Simone-Zezza,foaf:Person
326,reo:edoardo-pistoletti,Edoardo-Pistoletti,foaf:Person
